Streptococcus_pyogenes_0970 quast_consensus	['950']
Streptococcus_pyogenes_ancestor quast_consensus	['926']
Streptococcus_pyogenes_ancestor quast_strain	['884']
Streptococcus_pyogenes_0970 quast_strain	['894']
Streptococcus_pyogenes_MGAS315_0970 quast_consensus	['958']
Streptococcus_pyogenes_MGAS315_ancestor quast_consensus	['939']
Streptococcus_pyogenes_MGAS315_ancestor quast_strain	['892']
Streptococcus_pyogenes_MGAS315_0970 quast_strain	['907']
Streptococcus_pyogenes_MGAS8232_ancestor quast_consensus	['914']
Streptococcus_pyogenes_MGAS8232_0970 quast_consensus	['957']
Streptococcus_pyogenes_MGAS8232_0970 quast_strain	['929']
Streptococcus_pyogenes_MGAS8232_ancestor quast_strain	['864']
Streptococcus_pyogenes_SSI-1_ancestor quast_consensus	['949']
Streptococcus_pyogenes_SSI-1_0970 quast_consensus	['976']
Streptococcus_pyogenes_SSI-1_ancestor quast_strain	['903']
Streptococcus_pyogenes_SSI-1_0970 quast_strain	['937']
Streptomyces_avermitilis_ancestor quast_consensus	['907']
Streptomyces_avermitilis_0970 quast_consensus	['915']
Streptomyces_avermitilis_ancestor quast_strain	['849']
Streptomyces_avermitilis_0970 quast_strain	['863']
